,Unnamed: 0,Review,Sentiment
51,51,kecewa toko official pesan konfirmasi batalin sistem direspon pesan suruh pesan toko konfirmasi kirim menit batal sistem untung gara chat rekan tokopedia kirim detik situ payah ambil kurir pickup kurir kirim lambat puter rumah jam malam paket sampe,Negative
52,52,packing ada bubble selap tambah lapis plastik hasil terima patah,Negative
53,53,mic nyala,Negative
54,54,kartu sekolah dasar gb official mksofficial kecewa original,Negative
55,55,cepat deskripsi,Negative
56,56,berfugsi,Negative
57,57,tikus bagus pointer gerak gerak,Negative
58,58,infra redaksi jelek suka mental,Negative
59,59,baterai ukur nano receiver,Negative
60,60,boros baterai,Negative
61,61,error,Negative
62,62,jaringanya ngelek lambat pakai indihome adik sesal beli orbit jaring parah,Negative
63,63,ekspektasi,Negative
64,64,lambat,Negative
65,65,paket gb regiatrasi mb,Negative
66,66,register call center tim orbin helpful informasi gerai orbin buka telepon suruh cari google cari nomor telepon hubungin salah informasi valid sesal beli orbit call center tim orbin helpful informasi gerai orbin buka telepon suruh cari google cari nomor telepon hubungin salah informasi valid sesal beli orbit,Negative
67,67,tidak sesuai,Negative
68,68,janji kirim instan pakai tutup toko kirim paket malam pas besok coba solid state drive baca bilang kirim toko agarnbisa kirim tangerang ongkos gojek instan rb kirim sampaiiii kirim sengaja lamain profesional jual online jual rusak etikat ucap maaf tutup anggap licik pelit ongkos kirim suruh tanggung pas lihat lupa garansi produk ganti rusak,Negative
69,69,beli solid state drive terima rusak,Negative
70,70,fungsi tambah daya pakai mikro usb cas handphone,Negative
71,71,bagus colok hardisk external deteksi,Negative
72,72,fungsi tambah daya pakai mikro usb cas handphone,Negative
73,73,produk rusak,Negative
74,74,kualitas merek cina p harga rb an bagus merek rb an kirim lambat official store pesan zoom meeting pakai handphone kecewa produk layan logitech keyboard tikus bagus model kapok beli jam batal pesan,Negative
75,75,kirim lambat bilang kirim habis order chat respon official store merek logitech sungguh kecewa,Negative
76,76,mousenya responsif teken kuat,Negative
77,77,pakai sensor jelek suka,Negative
78,78,kecewa scroll rusak,Negative
79,79,nyala baterai ganti nyala kecewa kerjain logitech,Negative
80,80,kecewa kirim konfirmasi bolakbalik tanggung x ongkos kirim kecewa,Negative
81,81,kualitas chargeran jelek banget pakai rusakk,Negative
82,82,layan toko jelek lambat chat ratarata,Negative
83,83,rusak parah,Negative
84,84,cepat rusak kadang konek kadang,Negative
85,85,kotak penyok,Negative
86,86,cek utuh gb sisa gb masmba butuh beli beli,Negative
87,87,pesan alamat uang pesan,Negative
88,88,beli kemas kirim kemas bintang kon lini,Negative
89,89,anjing palsu bangsat awas tipu oi asli segel distributor,Negative
90,90,imitasi beli,Negative
91,91,buruk,Negative
92,92,busuk pakai rusak klaim belit adminnya,Negative
93,93,chat balas kuota janji gb hancur parah parah,Negative
94,94,kasih adaptor gelandang emis tipu,Negative
95,95,anjing hari pakai rusak quality control alah,Negative
96,96,solid state drive pakai ganti,Negative
97,97,beli mahal mahal ngeblur pakai zoom hubung rekan suruh klaim garansi alamat kasih aduh webcam juta kualitas sampah,Negative
98,98,gambar janggan percaya seller tipu kualitas jelek,Negative
99,99,kirim tanggung paket habis renang comberan isi pakai sampah,Negative
100,100,l r trigger ampas,Negative
101,101,jelek,Negative
102,102,sampah kirim alamat tong sampah kecewa admin chat lihat kirim dead pixel layar monitor balik kecewa catat temanteman beli monitor audiospeakernya kualitas layar rezeki bilah merek bagus sesal belanja rekomendasi belanja,Negative
103,103,jujur paksa jual kirim pesan beli suruh kirim solusi risiko foto tawar,Negative
104,104,beli pesan selesai mouse rusak komplain toped admin ditanyain klaim garansi chat balas besokda balas,Negative
105,105,beli dapetnya v desc jelas versi bagus v rgbnya rgb v redaksi green blue sisa warna gaguna switch puller gadapet rgb redup pemberitahuan versi keyboardnya benarbenar kecewa kapok beli ambil vrtx v bagus kecewa jual pokok,Negative
106,106,belanja official store terima sampah rongsok terima kasih,Negative
107,107,kacau pesan tikus lengkap tutup baterai bluetoothnya,Negative
108,108,harga asli an seller sok sok an bikin diskon rb diskon rbolshop keras,Negative
109,109,beli dituker pas coba pas klaim garansi balas bot tahi,Negative
110,110,puas produk layan cacat tutup meja tutup rapat pasang engsel sejajar pendek listnya sobek paksa tutup daun meja fix cacat pabrik kirim komplain terima toko jual suruh hubung kurir,Negative
111,111,quality jelek baut lepas,Negative
112,112,banyakk rusakk lecet nya,Negative
113,113,pesan bayar harga terima kasih uh bukti cek keluar cek beli beli unboxing abisin kuota,Negative
114,114,keyboard nyala baterai coba murah toko bohong,Negative
115,115,rusak kirim,Negative
116,116,meja utuh baut pasang baut lem kacau,Negative
117,117,driver kacau toko pintar nama bengak kasih puas komen bintang satu driver,Negative
118,118,kecewa lahgk penyelesaiandi chat kg balas kg balas lari sampah,Negative
119,119,kirim pesan webcam logitech logitech official dikirimmya headphone jbl tukar butuh sungguh,Negative
120,120,bagus keyboardnya packing aman double kardus warna keren,Positive
121,121,aaaa bagus kirim cepatt aman packaging nyala coba beli harga rp senengggbangett,Positive
122,122,terima kasihh bos mantappss moga lancarr berkah rezekinyasmngttt bos,Positive
123,123,barang buwaguusss pesan angin kencang angin puting beliung laptop ademmmm benerrr,Positive
124,124,mantap banget kualitas kayak webcam juta,Positive
125,125,selamat mulus fungsi sempurna seller sabar konsultasi emas aman recommended,Positive
126,126,pesan kirim cepat produk deskripsi seller responsif sukses jaga protokol sehat seller terima kasih,Positive
127,127,jual ramah barang bagus pesan packing rapi pesan,Positive
128,128,selamat siang bos pesan terima pasang coba packing rapi aman produk mantap pokok top markotop layan oke toko recomended terima kasih salam sukses sehat sejahtera amin,Positive
129,129,recommended seller,Positive
130,130,top banget,Positive
131,131,asli samsung layan,Positive
132,132,mantap laptop adem cepat panas,Positive
133,133,memori pasang keping gb ddr fungsi kirim lumayan cepat recommended seller,Positive
134,134,wow murah banget packing rapi produk bagus keren mantap uhuuy pokok hehe,Positive
135,135,mantap respon cepat pesan kecewa rekomended belanja spare part terima kasih,Positive
136,136,recommended fast print fast response,Positive
137,137,gila kirim cepat bangetdr surabaya bogor fast respont packing rapi recomended seller euy ma kasih ganthanks toped,Positive
138,138,barang cepat recommended tengkyuuu,Positive
139,139,recommended seller respon cepat kirim cepat,Positive
140,140,earcupnya lembut best value headset sound mantap nyaman praktis plug and play mantaaaap laaah gamer,Positive
141,141,respon cepat original baik recomended packing sukses,Positive
142,142,kualitas suara harga jangkau jamin orisinal daftar website razer pokok bagus bassnya rasa,Positive
143,143,kualitas produk harga tera nyaman pakai suara keras fungsi definitely would recommend this,Positive
144,144,mantap tanggap fast respon juossssssss,Positive
145,145,barang bagus harga affordable kualitas lumayan gila sih,Positive
146,146,mantappppp recommended keyboard mousenya,Positive
147,147,mantap minnn kirim jam sore gasss,Positive
148,148,mantap kualitas ragu,Positive
149,149,cakap produk rekomen deskripsi,Positive
150,150,packing rapi fast response rgbnya bagus rekomendasi,Positive
151,151,as always gagal belanja terima kasih ggs,Positive
152,152,cakap banget duduk kursi diri,Positive
153,153,overall muas layar bagus ipsnya bagus ilmu tahu sosial televisi warna bagus oversaturated brightness terang pakai gelap silau biar brightness layar putar kaki gampang dorong refresh rate bukti cepat fps mantap asa softwarenya bagus atur tombol kabel display port desain keren bezelless nice,Positive
154,154,cinta it produk bagus worth it terima kasih you,Positive
155,155,airo customer service super duper bagus okey produk bagus puas cinta airo,Positive
156,156,barang mantap kualitas kokoh garansi seller ramah pokok mantap,Positive
157,157,layan muas seller rekomended,Positive
158,158,packing jamin aman pakai bubblewrap cepat proses malam cekout pagi kirim sore cepat puas terima kasih sukses tech cube,Positive
159,159,mantap recommended respon seller bintang pesan malam,Positive
160,160,bahan plastik kuat topang laptopini sih kuat tablet gaisss beli,Negative
161,161,sampe kirim susul resi kasih,Negative
162,162,tidak bisa di guna ini bagaimana,Negative
163,163,saran beli buang box simpan biar beli rusak klaim garansi,Negative
164,164,packaging aman banget bubble wrap tipis alhasil kemas penyok pas terima kasih god barang aman official store fix min aduh,Negative
165,165,biar gambar cerita pesan bh rusak bh percaya balas bela apa seller amanah alas rusak expedisi letak cacat expedisi expedisi ceroboh packingan kardus satu bubble tipis ada tempel fragile pesan bubble kardus tambah seller usaha limpah biar ganti asuransi untung diviseo unboxing tolak expedisi cerita lebar ulas hubung nyaman buyer timbang baca waspada waspada itikad usaha lepas tangan bahaya rusak tokopedia seller kasih note dichat kirim hati hati jual aju resolusi pengambalian dana tokopedia alih asuransi tokopeda refund dana terima kasih admin,Negative
166,166,chat jadi makesure warna lainlain kaku kaku banget roko,Negative
167,167,terima rusak alami beli complain reject seller tokopedia tengah retur sayang situasi mudah kirim recommend beli toko cenderung amanah,Negative
168,168,ampun packing asal terima patah awas isi rusak pas pakai,Negative
169,169,produk chip dalam daur ulang pasang giling katakata asli beli harap perhati temanteman perhati,Negative
170,170,toko korup isinyanot recommended,Negative
171,171,isi paket via link rekomendasi gagal via ovo mandiri baca gagalga sistem jual,Negative
172,172,pikir beli saran produk rto rekan after sales service buruk jamin alam kecewa,Negative
173,173,layan buruk kirim respon beli kecewa,Negative
174,174,dpake asli sesal,Negative
175,175,produk kirim fungsi mesti kirim produk seller layak official store kirim jadwal janji deskripsisistem tokped slow response seller not recommended,Negative
176,176,respon cellernya mati nungguinnnn kirim tunggu hari pakai kirim instan bayar ongkos kirim mahal celler beli tinggla jakarta arekomen beli cari emosi tunggu,Negative
177,177,parah proses moga pelajaram tim logitech,Negative
178,178,harga sih promo pakai gojek instan mahal ongkirnya barang pakai cepat pas patah belah standnya kecewa sih jual promo cacat catat biar customer beli promo cacat seller sih oke tukar efektif pakai cepat retur ongkos kirim mahal kualitas barang kecewa pokok kapok beli,Negative
179,179,hati hati foto display varian bonus harga beda,Negative
180,180,estimasi pesan online platform cepat penuh customer online jual offline customer beli online pakai delayproses apa tulis deskripsi produk customer info mesan efek kemas bungkus bubble wrap tipissss bayang customer sial barang lempar hancur isi janjiin customer dipickupantar libur,Negative
181,181,pesan maret jam pakai kirim instan maret bayar mahal kirim esok hari antar driver gosend antar paket durasi toko butuh maret pilih kirim instan toko paket kirim jawab kenyataanya paket kirim kirim bilang aju cancel pesan respon jual layan buruk recommended moga depan,Negative
182,182,palsu,Negative
183,183,informasi bohong bikin alam senang beli produk dbe cari toko tipu tipu headphone bikin kuping sakit,Negative
184,184,rgb mati jual respon lulus qc jual hati hati beli,Negative
185,185,hati hati belanja unit cacat bilang suruh aju komplain dituker toko bilang gabs dituker official store abal abal solusi,Negative
186,186,layan toko buruk order laptop barang laptop nyala habis usaha solusi seller seller respon ada tawar solusi lamban pikir respondnya paksa aju komplain komplain seller diskusi respon kendala cuek jangka habis dana refund baca ulas anjur order toko goda tittle official store nyata layan toko merchant harga murah,Negative
187,187,kirim laptop toko cek laptop kasih beli layar pecah kardus rusak packingan rusak habis klaim tokpedia minggu hasil klaim asuransi toko verified jamin layan toko buruk respon cepat beli dikomplen ulur tanggung komplain hari berikutny paket buka tukar unit toko gunany tulis deskripsi garansi toko beli terima kasih,Negative
188,188,beli cek review jual rusak kirim korban cek foto order korban kacau toko jual rusak,Negative
189,189,biar gambar cerita pesan bh rusak bh percaya balas bela apa seller amanah alas rusak expedisi letak cacat expedisi expedisi ceroboh packingan kardus satu bubble tipis ada tempel fragile pesan bubble kardus tambah seller usaha limpah biar ganti asuransi untung diviseo unboxing tolak expedisi cerita lebar ulas hubung nyaman buyer timbang baca waspada waspada itikad usaha lepas tangan bahaya rusak tokopedia seller kasih note dichat kirim hati hati jual aju resolusi pengambalian dana tokopedia alih asuransi tokopeda refund dana terima kasih admin,Negative
190,190,chat jadi makesure warna lainlain kaku kaku banget roko,Negative
191,191,meja laptop buka kardus pecah ujung retak bagi meja hijau kusam bekas pakai seller komplain tolak tukar alas bukti arah asuransi tokopedia ribet bukti musnah pas lihat ulas meja pecah rusak kecewa saran jual jujur jual bekas display bilang tulis deskripsi jujur tokopedia selektif toko packing kes asal pakai kardus tipis pakai bubble wrap moga customer tipu,Negative
192,192,cek kirim sekolah dasar,Negative
193,193,coba samsung baca pasang cctv bisapenasran coba samsung m pensran coba oppo jugamasih pensran coba disamsung bisaseumur umur kasih bintang klaim garansi ribet jugakapok belnja apliksi toko enkn tko seblahkomplain jual disurh komplain toped komplain toped disurh komplain baiknuy penjualhadehpok kapok,Negative
194,194,percaya simpan data pikir pakai kartu baca data selamat garansi pakai estimasi bulan bulan beli merek jamin kualitas be carefull and keep healthy terima kasih,Negative
195,195,kecewa produk kaki goyang oglek hati hati beli warna putih foto produk warna coklat jual otot meja terima warna putih foto komplain lihat review beli kirim warna beda pes beli tulis pesan order,Negative
196,196,pakai ulah susah kadang hang frezee blank on komputer ganti respon embel embel garansi lifetime not recommended,Negative
197,197,ram pakai tukar gilir refund susah beli pokok recommend hati hati ram palsu,Negative
198,198,suara belah produk masalah kaulitas kontrol rekomen,Negative
199,199,laptop rusak pas aktif fan error baik keyboardnya rusak ganti keyboardnya adaptor rusak belanja,Negative
200,200,bagus cepat,Positive
201,201,produk mantapp,Positive
202,202,bagus deskripsi produk,Positive
203,203,ukur karet mantap kirim cepat jadwal mantap is best,Positive
204,204,kirim cepat bagus terima kasih,Positive
205,205,pesan fungsi seller responsif kirim cepat recommended,Positive
206,206,barang bagus kualitas produk bagus harga jangkau recomended,Positive
207,207,bareng packing oke cocok kado bonus dompet koin,Positive
208,208,lempar deskripsi produk ready sedia packing rapi,Positive
209,209,bagus harap pouchnya mantap bagusservice seller buangetterima kasih iklan,Positive
210,210,kirim cepat bagus packing rapi terima kasih,Positive
211,211,kualitas produk bagus material bagus harga jangkau recomended,Positive
212,212,kualitas produk bagus material bagus recomended harga jangkau,Positive
213,213,pes jual ramah beyblade putar kencang harga murah toko,Positive
214,214,kartu lengkap harga kompetitif seru banget game,Positive
215,215,kartu lengkap seru banget game harga kompetitif,Positive
216,216,terima kasih pesan,Positive
217,217,kartu lengkap packing model baru ready sedia,Positive
218,218,deskripsi kirim cepat recommended seller,Positive
219,219,kualitas banding harga lengkap tas pandu buku moderator tebal box kartu tebal mantappl,Positive
220,220,mantap juragan darat mulus kartu oke per lengkap buku pandu buku catat moderator terima kasih juragan,Positive
221,221,enak kartu ekspektasi plastik licin rasa awet,Positive
222,222,fungsi packaging aman packaging aman barang original,Positive
223,223,bagus tahan,Positive
224,224,paket terima pesan respon cepat packing rapi safety terima kasih juragan,Positive
225,225,barang original packaging aman,Positive
226,226,bagus banget promo bayar rupiah mantap,Positive
227,227,bagus mudah robek bahan plastik,Positive
228,228,keren kartu remi packaging aman,Positive
229,229,packaging aman fungsi,Positive
230,230,fungsi packaging aman,Positive
231,231,kualitas bagus harga murah,Positive
232,232,kirim cepat packing aman harga flashsale,Positive
233,233,beli allhamdulillah tuju muas,Positive
234,234,amazing keren f cepat sampee,Positive
235,235,layan baik original,Positive
236,236,mantap kartu murah bagus kualitas sesal,Positive
237,237,benerbener ekspektasi sih auto ajar triumph,Positive
238,238,packing rapi kirim cepat seller responsif produk bagus orisinal recommended pokok,Positive
239,239,mantap bagus pack aman benarbenar recommended seller main card keren keren,Positive
240,240,barang bagus,Negative
241,241,bikin kecewa pesan items tunggu kurang barang uno stacko kayu uno card pcs werewolf pcs refund uang,Negative
242,242,kecewa pakcing buruk box kayu hancur beli bh jual bagus retur kena biaya paksa jual box kayu,Negative
243,243,kecewa sih potong rapi ukur beda beda what fuck harga kualitas bagus worth setip kartu remi bagus kemas kemas oke tarik isi k what fuck ikhlas,Negative
244,244,kecewa bareng rusak kirim chat responnya batas otomatis habis langgan toko,Negative
245,245,dino unicorn mickey tikus anak kecewa,Negative
246,246,buset kasih merek ares pakai pod ayo bau gosong perdana kecewa belanja toko,Negative
247,247,maaf aga kecewa beli polos tulis ayo movi gayakin asli mohon maaf ulas jujur,Negative
248,248,barang gambar ukur kecewa pokok,Negative
249,249,sih nama kecewa,Negative
250,250,harap susah main,Negative
251,251,pesan kasih kecewa banget,Negative
252,252,sih mobil hotwheels iklan kecewa,Negative
253,253,harga gin worth itbahan tebal murah detail bahan maaf,Negative
254,254,seller respon kecewa,Negative
255,255,kecewa sih seller friendly,Negative
256,256,rusak fungsi main parahhh,Negative
257,257,fungsipisaunya tusuk tong kepala stay,Negative
258,258,toko aplikasi kecewa,Negative
259,259,produk pakai rusak kecewa banget,Negative
260,260,tipis pecah buang sampah,Negative
261,261,kasih rusak sungguh kecewa main nyangap kapok beli,Negative
262,262,kecewa pas pakai,Negative
263,263,kirim main fungsi,Negative
264,264,maennanya macet tutup mulut kecewa,Negative
265,265,kecewa,Negative
266,266,retak pakai asuransi kecewaaa,Negative
267,267,rusak harga kualitas,Negative
268,268,retak malas retur anak lanjur sedih,Negative
269,269,kualitas produk kecewa mulut setia buka stuck pakai klaim kembali prosedur mudah sampah rumah,Negative
270,270,kirim kecewa customer bantu jual sok sad,Negative
271,271,kecewa tunggu respon jual,Negative
272,272,kecewa toko,Negative
273,273,lubang model persegi kirim buyer model bulat warna beranta jelek,Negative
274,274,kualitas main buruk,Negative
275,275,rusak,Negative
276,276,bahan jelek kualitas jelek menit rusak,Negative
277,277,kereta nya anakqu kecewa,Negative
278,278,kecewa,Negative
279,279,berfungsitidak,Negative
280,280,barang bagus,Negative
281,281,rusak fungsi main parahhh,Negative
282,282,bahan plastik jelek suara lampu terang main patah,Negative
283,283,main rusak pakai,Negative
284,284,produk cacat kepala penyok tukar kasih,Negative
285,285,jelek coba rusak gigi pencet,Negative
286,286,beli kirim kembali duit tipu,Negative
287,287,kualitas main buruk,Negative
288,288,bahan jelek kualitas jelek menit rusak,Negative
289,289,jelek rusak,Negative
290,290,paket selesai sih,Negative
291,291,jelek pakai gosong segel buka,Negative
292,292,basah air bau kualitas bagus gambar cat kelupas,Negative
293,293,cat jelek banget detailing jelek parah murah sih jelek,Negative
294,294,produk cacat kepala penyok tukar kasih,Negative
295,295,buruk,Negative
296,296,paket selesai sih,Negative
297,297,selesai tipu,Negative
298,298,main cacat angka pudar parah,Negative
299,299,rusak,Negative
300,300,jelek mudah sobek,Negative
301,301,cacat jidatnyamana banget lagihadeeuuhh,Negative
302,302,sendi seret lossssss stand meyesell,Negative
303,303,beli biji telepon toko tawarin ganti murah kirim among us ultra violet bilang rugi,Negative
304,304,pesan model cinta dtang mickeyanak we ngamukdi cat ready loveklo bilang,Negative
305,305,bocor payah periksa,Negative
306,306,packing kecewa kotor bocor musik baret,Negative
307,307,jelak patah pedang meletot warna fatal,Negative
308,308,cacat gaming,Negative
309,309,pesan kasih warna gila jual,Negative
310,310,harga mahal ekspetasi cat rapi bahan plastik murah,Negative
311,311,kirim beda murah selisih rusak retur maenannya lanjur buka kembali selisih suruh isiin pulsa rb pulsa masukditanyain parah amanah,Negative
312,312,kartu imitasi orisinal sih,Negative
313,313,kotak jelek penyok bungkus ada,Negative
314,314,sampenya banget minggu pas barang coba patah sial,Negative
315,315,good puassss,Negative
316,316,kemaskirim seller mohon sabar mohon tunggu kasih pasti kirim end up pickup gudang kurir,Negative
317,317,toko sportif koperatif alam buruk belanja toko cacat aju keluh tanggung chat tokped tanggap puter puter banyak basa basi tanggung makan uang istri hati hati toko,Negative
318,318,jual ngotottt laku toko bang,Negative
319,319,kirim dough jelek lentur,Negative
320,320,paket mulus tuju toko percaya mantab,Positive
321,321,suka anak senang meroncesesuai sena barang bagus terima kasih,Positive
322,322,kreasi anak anak senang banget kirim cepat terima kasih seller,Positive
323,323,respon cepat terima kasih kyou recommended banget,Positive
324,324,anak suka aman sih,Positive
325,325,mantap banget pokok bagus bola warna warni penyok bagus anak suka,Positive
326,326,bagussesuatu ekspektasi recommended seller,Positive
327,327,mantaaappp bagus kereeennn,Positive
328,328,mantap anak suka kirim cepat pesan besok,Positive
329,329,layan bagus mantap rekomen beli terima kasih,Positive
330,330,bagus main anak anak suka,Positive
331,331,bagus bengedd ekspektasi,Positive
332,332,deskripsi kirim cepat,Positive
333,333,cantik,Positive
334,334,cepat makasihh anak senang bangettt,Positive
335,335,mantaaaaap g gambar jujur amanah seler ngak sesal belanja toko pokok mantaaaaap,Positive
336,336,pesan cepat proses packing rapi pesan juragan mantap repeat order kesini,Positive
337,337,suka coba nyaman,Positive
338,338,suka slamenya bonus kirim cepat moga sukses seller,Positive
339,339,suka wangi banget tekstur bagus bangeetpacking rapi,Positive
340,340,bagus bangettop,Positive
341,341,mantap kecewa belanja figure foto kawaii nezukochan wangy wangyyy he canda om,Positive
342,342,mantap juragan aman terima kasih juragan,Positive
343,343,bagus,Positive
344,344,bagus banget sumpah harga murah banget,Positive
345,345,mantap bangettt cinta it,Positive
346,346,mobil bagus banget kirim super cepat harga jangkau,Positive
347,347,mantap recomend terima gambar,Positive
348,348,okeeee siiipps kereeennn habis tempatbhotwhealsnya juragan,Positive
349,349,keren sempurna,Positive
350,350,overall,Positive
351,351,main bagus,Positive
352,352,keren anak suka,Positive
353,353,suka sekaliiii jual responded banget terima kasih sukses seller,Positive
354,354,barang keren sayang bungkus plastik kes premium overall kuereennnn terima kasih,Positive
355,355,bagus,Positive
356,356,kualitas oke harga keren parah,Positive
357,357,mantap deskripsi gambar,Positive
358,358,first time beli pakai ragu pokok worth it,Positive
359,359,best kirim cepat,Positive
360,360,saran transaksi toko pesan kirim bohong,Negative
361,361,cek bungkus,Negative
362,362,suruh rekomen,Negative
363,363,dana,Negative
364,364,parah toko tanggung,Negative
365,365,adda mesin beli,Negative
366,366,mentang mentang dapetnya gratis tokped kirim enak jidat packing jelek main cek roda depan kereta maaf foto lanjur kesal main hancur kayak ponakan pesan apa layan penuh hati,Negative
367,367,hati hati temanteman beli pakai sengaja bintang chat abang respon,Negative
368,368,beli pakai hangus kapok beli catridge minggu,Negative
369,369,order gambar truck madam kirim mobil police not recommended,Negative
370,370,hot wheels asli bahan plastik harap original,Negative
371,371,orisinal harga kualitas puluh bahan plastik kasih deskripsi,Negative
372,372,jar bahan bagus bahan lumayan tutup jar pita perhati lubang gampang tarik lepas balik tutup stick kecil lobangnya stick plastik ganti tutup stick tutup pita pe er ngerjainnya keiket maaf reviewnya bagus,Negative
373,373,merek kereta beda gambar jual merek jual keluar cina merek thomas train set thamos train set rel kretanya stabil kualitas cari tipu sebenrnya lihat review jual gambar puas,Negative
374,374,uang amanah kirim kirim lengkap niat kirim kurang belit inbox kali alas pesan resi kasih alas belit kirim bareng lengkap rekomended,Negative
375,375,order pcs kirim cek sistem close jual tipu online,Negative
376,376,seller jelek recommended belanja,Negative
377,377,maaf kasih bintang pilih warna kuning rusa pilih warna warna kuning warna hijau biru warna merah muda stok warna harusa konfirmasi kecewa si anak cowok cewek kasih warna merah muda kirim coba cek,Negative
378,378,cek baterai juragan baterai bekas kasih suara,Negative
379,379,kayak barang kempeess makan dituliss kempes ganti,Negative
380,380,ujung bompel bentur pas ekspedisi saran packaging aman mudah pecah,Negative
381,381,cepat produk bagus finising mulus saran om kelam fi tingkat beber sisi tempel lobang gantung besar om terima kasih,Negative
382,382,barang imitasi kira promo,Negative
383,383,palsu hot wheels original made in cina made malaysia skripsi,Negative
384,384,hot wheels asli bahan plastik harap original,Negative
385,385,orisinal harga kualitas puluh bahan plastik kasih deskripsi,Negative
386,386,mobil asli hot wheels asli,Negative
387,387,kirim cek fungsi dinamo nya seller kirim dinamo fungsi motor nya lampu musik tombol mesin nya nyala ces hari nyala,Negative
388,388,barang tunggu malas beli,Negative
389,389,kaki main robot hulk pecahrusak mohon cek kirim brh,Negative
390,390,toko,Negative
391,391,kecewa robot lambat kyaxnya imitasi nya blanja,Negative
392,392,hati hati jebak be careful judul deskripsi tulis dart game isi paket buah papan dart inch kenyataanya kirim ukur inch be careful,Negative
393,393,lengkap cek kirim kirim ajajual rugi ngrugiin customer suruh kirim kurang barang mauribet puas percaya pelangg,Negative
394,394,terima pinggir patah,Negative
395,395,kirim beli kirim ulang toko tolak,Negative
396,396,hati hati guys kirim,Negative
397,397,kiri beli beli pcs kanan beli warna kualitas beda bin bahan tipis warna cerah beli,Negative
398,398,kurir sameday kirim besok kirim pakai sameday bilang toko ready sih sistem ambil kumpul order kirim kayak,Negative
399,399,pesan playdogh kirim pesan stamp dikirimpadahal bayar fullga cfm sekalisangat rekomended toko maaf kasih bintang amanah jual,Negative
400,400,mantap order ulang,Positive
401,401,terima kasih terima coba enak,Positive
402,402,enak kenyang banget nasi putih,Positive
403,403,coklat selamat leleh packing aman kirim cepat harga murah terima kasih,Positive
404,404,harga murah kualitas produk,Positive
405,405,respon jual cepat kirim cepat dankemasan rapi,Positive
406,406,mantap orisinal packing oke harga promo muraj promo,Positive
407,407,packing rapi aman produk pesan seller responsif dendeng nya coba mdh an enak thanks,Positive
408,408,puas mantap cepat rekomendasi belanja,Positive
409,409,rasa ok,Positive
410,410,empuk manis gede daging biji respon seller cepat gratis ongkirnya cepat mantap beli,Positive
