,Before,After
220,itungan,hitungan
221,iye,iya
222,ja,saja
223,jadiin,jadi
224,jaim,jaga image
225,jayus,tidak lucu
226,jdi,jadi
227,jem,jam
228,jga,juga
229,jgnkan,jangankan
230,jir,anjing
231,jln,jalan
232,jomblo,tidak punya pacar
233,jubir,juru bicara
234,jutek,galak
235,k,ke
236,kab,kabupaten
237,kabor,kabur
238,kacrut,kacau
239,kadiv,kepala divisi
240,kagak,tidak
241,kalo,kalau
242,kampret,sialan
243,kamtibmas,keamanan dan ketertiban masyarakat
244,kamuwh,kamu
245,kanwil,kantor wilayah
246,karna,karena
247,kasubbag,kepala subbagian
248,katrok,kampungan
249,kayanya,kayaknya
250,kbr,kabar
251,kdu,harus
252,kec,kecamatan
253,kejurnas,kejuaraan nasional
254,kekeuh,keras kepala
255,kel,kelurahan
256,kemaren,kemarin
257,kepengen,mau
258,kepingin,mau
259,kepsek,kepala sekolah
260,kesbang,kesatuan bangsa
261,kesra,kesejahteraan rakyat
262,ketrima,diterima
263,kgiatan,kegiatan
264,kibul,bohong
265,kimpoi,kawin
266,kl,kalau
267,klianz,kalian
268,kloter,kelompok terbang
269,klw,kalau
270,km,kamu
271,kmps,kampus
272,kmrn,kemarin
273,knal,kenal
274,knp,kenapa
275,kodya,kota madya
276,komdis,komisi disiplin
277,komsov,komunis sovyet
278,kongkow,kumpul bareng teman-teman
279,kopdar,kopi darat
280,korup,korupsi
281,kpn,kapan
282,krenz,keren
283,krm,kirim
284,kt,kita
285,ktmu,ketemu
286,ktr,kantor
287,kuper,kurang pergaulan
288,kw,imitasi
289,kyk,seperti
290,la,lah
291,lam,salam
292,lamp,lampiran
293,lanud,landasan udara
294,latgab,latihan gabungan
295,lebay,berlebihan
296,leh,boleh
297,lelet,lambat
298,lemot,lambat
299,lgi,lagi
300,lgsg,langsung
301,liat,lihat
302,litbang,penelitian dan pengembangan
303,lmyn,lumayan
304,lo,kamu
305,loe,kamu
306,lola,lambat berfikir
307,louph,cinta
308,low,kalau
309,lp,lupa
310,luber,"langsung, umum, bebas, dan rahasia"
311,luchuw,lucu
312,lum,belum
313,luthu,lucu
314,lwn,lawan
315,maacih,terima kasih
316,mabal,bolos
317,macem,macam
318,macih,masih
319,maem,makan
320,magabut,makan gaji buta
321,maho,homo
322,mak jang,kaget
323,maksain,memaksa
324,malem,malam
325,mam,makan
326,maneh,kamu
327,maniez,manis
328,mao,mau
329,masukin,masukkan
330,melu,ikut
331,mepet,dekat sekali
332,mgu,minggu
333,migas,minyak dan gas bumi
334,mikol,minuman beralkohol
335,miras,minuman keras
336,mlah,malah
337,mngkn,mungkin
338,mo,mau
339,mokad,mati
340,moso,masa
341,mpe,sampai
342,msk,masuk
343,mslh,masalah
344,mt,makan teman
345,mubes,musyawarah besar
346,mulu,melulu
347,mumpung,selagi
348,munas,musyawarah nasional
349,muntaber,muntah dan berak
350,musti,mesti
351,muupz,maaf
352,mw,now watching
353,n,dan
354,nanam,menanam
355,nanya,bertanya
356,napa,kenapa
357,napi,narapidana
358,napza,"narkotika, alkohol, psikotropika, dan zat adiktif "
359,narkoba,"narkotika, psikotropika, dan obat terlarang"
360,nasgor,nasi goreng
361,nda,tidak
362,ndiri,sendiri
363,ne,ini
364,nekolin,neokolonialisme
365,nembak,menyatakan cinta
366,ngabuburit,menunggu berbuka puasa
367,ngaku,mengaku
368,ngambil,mengambil
369,nganggur,tidak punya pekerjaan
370,ngapah,kenapa
371,ngaret,terlambat
372,ngasih,memberikan
373,ngebandel,berbuat bandel
374,ngegosip,bergosip
375,ngeklaim,mengklaim
376,ngeksis,menjadi eksis
377,ngeles,berkilah
378,ngelidur,menggigau
379,ngerampok,merampok
380,ngga,tidak
381,ngibul,berbohong
382,ngiler,mau
383,ngiri,iri
384,ngisiin,mengisikan
385,ngmng,bicara
386,ngomong,bicara
387,ngubek2,mencari-cari
388,ngurus,mengurus
389,nie,ini
390,nih,ini
391,niyh,nih
392,nmr,nomor
393,nntn,nonton
394,nobar,nonton bareng
395,np,now playing
396,ntar,nanti
397,ntn,nonton
398,numpuk,bertumpuk
399,nutupin,menutupi
400,nyari,mencari
401,nyekar,menyekar
402,nyicil,mencicil
403,nyoblos,mencoblos
404,nyokap,ibu
405,ogah,tidak mau
406,ol,online
407,ongkir,ongkos kirim
408,oot,out of topic
409,org2,orang-orang
410,ortu,orang tua
411,otda,otonomi daerah
412,otw,"on the way, sedang di jalan"
413,pacal,pacar
414,pake,pakai
415,pala,kepala
416,pansus,panitia khusus
417,parpol,partai politik
418,pasutri,pasangan suami istri
419,pd,pada
420,pede,percaya diri
421,pelatnas,pemusatan latihan nasional
422,pemda,pemerintah daerah
423,pemkot,pemerintah kota
424,pemred,pemimpin redaksi
425,penjas,pendidikan jasmani
426,perda,peraturan daerah
427,perhatiin,perhatikan
428,pesenan,pesanan
429,pgang,pegang
430,pi,tapi
431,pilkada,pemilihan kepala daerah
432,pisan,sangat
433,pk,penjahat kelamin
434,plg,paling
435,pmrnth,pemerintah
436,polantas,polisi lalu lintas
437,ponpes,pondok pesantren
438,pp,pulang pergi
439,prg,pergi
440,prnh,pernah
441,psen,pesan
442,pst,pasti
443,pswt,pesawat
444,pw,posisi nyaman
445,qmu,kamu
446,rakor,rapat koordinasi
447,ranmor,kendaraan bermotor
448,re,reply
449,ref,referensi
450,rehab,rehabilitasi
451,rempong,sulit
452,repp,balas
453,restik,reserse narkotika
454,rhs,rahasia
455,rmh,rumah
456,ru,baru
457,ruko,rumah toko
458,rusunawa,rumah susun sewa
459,ruz,terus
460,saia,saya
461,salting,salah tingkah
462,sampe,sampai
463,samsek,sama sekali
464,sapose,siapa
465,satpam,satuan pengamanan
466,sbb,sebagai berikut
467,sbh,sebuah
468,sbnrny,sebenarnya
469,scr,secara
470,sdgkn,sedangkan
471,sdkt,sedikit
472,se7,setuju
473,sebelas dua belas,mirip
474,sembako,sembilan bahan pokok
475,sempet,sempat
476,sendratari,seni drama tari
477,sgt,sangat
478,shg,sehingga
479,siech,sih
480,sikon,situasi dan kondisi
481,sinetron,sinema elektronik
482,siramin,siramkan
483,sj,saja
484,skalian,sekalian
485,sklh,sekolah
486,skt,sakit
487,slesai,selesai
488,sll,selalu
489,slma,selama
490,slsai,selesai
491,smpt,sempat
492,smw,semua
493,sndiri,sendiri
494,soljum,sholat jumat
495,songong,sombong
496,sory,maaf
497,sosek,sosial-ekonomi
498,sotoy,sok tahu
499,spa,siapa
500,sppa,siapa
501,spt,seperti
502,srtfkt,sertifikat
503,stiap,setiap
504,stlh,setelah
505,suk,masuk
506,sumpek,sempit
507,syg,sayang
508,t4,tempat
509,tajir,kaya
510,tau,tahu
511,taw,tahu
512,td,tadi
513,tdk,tidak
514,teh,kakak perempuan
515,telat,terlambat
516,telmi,telat berpikir
517,temen,teman
518,tengil,menyebalkan
519,tepar,terkapar
520,tggu,tunggu
521,tgu,tunggu
522,thankz,terima kasih
523,thn,tahun
524,tilang,bukti pelanggaran
525,tipiwan,TvOne
526,tks,terima kasih
527,tlp,telepon
528,tls,tulis
529,tmbah,tambah
530,tmen2,teman-teman
531,tmpah,tumpah
532,tmpt,tempat
533,tngu,tunggu
534,tnyta,ternyata
535,tokai,tai
536,toserba,toko serba ada
537,tpi,tapi
538,trdhulu,terdahulu
539,trima,terima kasih
540,trm,terima
541,trs,terus
542,trutama,terutama
543,ts,penulis
544,tst,tahu sama tahu
545,ttg,tentang
546,tuch,tuh
547,tuir,tua
548,tw,tahu
549,u,kamu
550,ud,sudah
551,udah,sudah
552,ujg,ujung
553,ul,ulangan
554,unyu,lucu
555,uplot,unggah
556,urang,saya
557,usah,perlu
558,utk,untuk
559,valas,valuta asing
560,w/,dengan
561,wadir,wakil direktur
562,wamil,wajib militer
563,warkop,warung kopi
564,warteg,warung tegal
565,wat,buat
566,wkt,waktu
567,wtf,what the fuck
568,xixixi,tertawa
569,ya,iya
570,yap,iya
571,yaudah,ya sudah
572,yawdah,ya sudah
573,yg,yang
574,yl,yang lain
575,yo,iya
576,yowes,ya sudah
577,yup,iya
578,7an,tujuan
579,ababil,abg labil
580,acc,accord
581,adlah,adalah
582,adoh,aduh
583,aha,tertawa
584,aing,saya
585,aja,saja
586,ajj,saja
587,aka,dikenal juga sebagai
588,akko,aku
589,akku,aku
590,akyu,aku
591,aljasa,asal jadi saja
592,ama,sama
593,ambl,ambil
594,anjir,anjing
595,ank,anak
596,ap,apa
597,apaan,apa
598,ape,apa
599,aplot,unggah
600,apva,apa
601,aqu,aku
602,asap,sesegera mungkin
603,aseek,asyik
604,asek,asyik
605,aseknya,asyiknya
606,asoy,asyik
607,astrojim,astagfirullahaladzim
608,ath,kalau begitu
609,atuh,kalau begitu
610,ava,avatar
611,aws,awas
612,ayang,sayang
613,ayok,ayo
614,bacot,banyak bicara
615,bales,balas
616,bangdes,pembangunan desa
617,bangkotan,tua
618,banpres,bantuan presiden
619,bansarkas,bantuan sarana kesehatan
620,bazis,"badan amal, zakat, infak, dan sedekah"
621,bcoz,karena
622,beb,sayang
623,bejibun,banyak
624,belom,belum
625,bener,benar
626,ber2,berdua
627,berdikari,berdiri di atas kaki sendiri
628,bet,banget
629,beti,beda tipis
630,beut,banget
631,bgd,banget
632,bhubu,tidur
633,bimbuluh,bimbingan dan penyuluhan
634,bisi,kalau-kalau
635,bkn,bukan
636,bl,beli
637,blg,bilang
638,blm,belum
639,bls,balas
640,bnchi,benci
641,bngung,bingung
642,bnyk,banyak
643,bohay,badan aduhai
644,bokep,porno
645,bokin,pacar
646,bole,boleh
647,bolot,bodoh
648,bonyok,ayah ibu
649,bpk,bapak
650,brb,segera kembali
651,brngkt,berangkat
652,brp,berapa
653,brur,saudara laki-laki
654,bsa,bisa
655,bsk,besok
656,bu_bu,tidur
657,bubarin,bubarkan
658,buber,buka bersama
659,bujubune,luar biasa
660,buser,buru sergap
661,bwhn,bawahan
662,byar,bayar
663,byr,bayar
664,c8,chat
665,cabut,pergi
666,caem,cakep
667,cama-cama,sama-sama
668,cangcut,celana dalam
669,cape,capek
670,caur,jelek
671,cekak,tidak ada uang
672,cekidot,coba lihat
673,cemplungin,cemplungkan
674,ceper,pendek
675,ceu,kakak perempuan
676,cewe,cewek
677,cibuk,sibuk
678,cin,cinta
679,ciye,cie
680,ckck,ck
681,clbk,cinta lama bersemi kembali
682,cmpr,campur
683,cnenk,senang
684,congor,mulut
685,cow,cowok
686,coz,karena
687,cpa,siapa
688,gokil,gila
689,gombal,suka merayu
690,gpl,tidak pakai lama
691,gpp,tidak apa-apa
692,gretong,gratis
693,gt,begitu
694,gtw,tidak tahu
695,gue,saya
696,guys,teman-teman
697,gws,cepat sembuh
698,haghaghag,tertawa
699,hakhak,tertawa
700,handak,bahan peledak
701,hansip,pertahanan sipil
702,hellow,halo
703,helow,halo
704,hi,hai
705,hlng,hilang
706,hnya,hanya
707,houm,rumah
708,hrs,harus
709,hubad,hubungan angkatan darat
710,hubla,perhubungan laut
711,huft,mengeluh
712,humas,hubungan masyarakat
713,idk,saya tidak tahu
714,ilfeel,tidak suka
715,imba,jago sekali
716,imoet,imut
717,info,informasi
718,itung,hitung
719,isengin,bercanda
720,iyala,iya lah
721,iyo,iya
722,jablay,jarang dibelai
723,jadul,jaman dulu
724,jancuk,anjing
725,jd,jadi
726,jdikan,jadikan
727,jg,juga
728,jgn,jangan
729,jijay,jijik
730,jkt,jakarta
731,jnj,janji
732,jth,jatuh
733,jurdil,jujur adil
734,jwb,jawab
735,ka,kakak
736,kabag,kepala bagian
737,kacian,kasihan
738,kadit,kepala direktorat
739,kaga,tidak
740,kaka,kakak
741,kamtib,keamanan dan ketertiban
742,kamuh,kamu
743,kamyu,kamu
744,kapt,kapten
745,kasat,kepala satuan
746,kasubbid,kepala subbidang
747,kau,kamu
748,kbar,kabar
749,kcian,kasihan
750,keburu,terlanjur
751,kedubes,kedutaan besar
752,kek,seperti
753,keknya,kayaknya
754,keliatan,kelihatan
755,keneh,masih
756,kepikiran,terpikirkan
757,kepo,mau tahu urusan orang
758,kere,tidak punya uang
759,kesian,kasihan
760,ketauan,ketahuan
761,keukeuh,keras kepala
762,khan,kan
763,kibus,kaki busuk
764,kk,kakak
765,klian,kalian
766,klo,kalau
767,kluarga,keluarga
768,klwrga,keluarga
769,kmari,kemari
770,kmpus,kampus
771,kn,kan
772,knl,kenal
773,knpa,kenapa
774,kog,kok
775,kompi,komputer
776,komtiong,komunis Tiongkok
777,konjen,konsulat jenderal
778,koq,kok
779,kpd,kepada
780,kptsan,keputusan
781,krik,garing
782,krn,karena
783,ktauan,ketahuan
784,ktny,katanya
785,kudu,harus
786,kuq,kok
787,ky,seperti
788,kykny,kayanya
789,laka,kecelakaan
790,lambreta,lambat
791,lansia,lanjut usia
792,lapas,lembaga pemasyarakatan
793,lbur,libur
794,lekong,laki-laki
795,lg,lagi
796,lgkp,lengkap
797,lht,lihat
798,linmas,perlindungan masyarakat
799,lmyan,lumayan
800,lngkp,lengkap
801,loch,loh
802,lol,tertawa
803,lom,belum
804,loupz,cinta
805,lowh,kamu
806,lu,kamu
807,luchu,lucu
808,luff,cinta
809,luph,cinta
810,lw,kamu
811,lwt,lewat
812,maaciw,terima kasih
813,mabes,markas besar
814,macem-macem,macam-macam
815,madesu,masa depan suram
816,maen,main
817,mahatma,maju sehat bersama
818,mak,ibu
819,makasih,terima kasih
820,malah,bahkan
821,malu2in,memalukan
822,mamz,makan
823,manies,manis
824,mantep,mantap
825,markus,makelar kasus
826,mba,mbak
827,mending,lebih baik
828,mgkn,mungkin
829,mhn,mohon
830,miker,minuman keras
831,milis,mailing list
832,mksd,maksud
833,mls,malas
834,mnt,minta
835,moge,motor gede
836,mokat,mati
837,mosok,masa
838,msh,masih
839,mskpn,meskipun
840,msng2,masing-masing
841,muahal,mahal
842,muker,musyawarah kerja
843,mumet,pusing
844,muna,munafik
845,munaslub,musyawarah nasional luar biasa
846,musda,musyawarah daerah
847,muup,maaf
848,muuv,maaf
849,nal,kenal
850,nangis,menangis
851,naon,apa
852,napol,narapidana politik
853,naq,anak
854,narsis,bangga pada diri sendiri
855,nax,anak
856,ndak,tidak
857,ndut,gendut
858,nekolim,neokolonialisme
859,nelfon,menelepon
860,ngabis2in,menghabiskan
861,ngakak,tertawa
862,ngambek,marah
863,ngampus,pergi ke kampus
864,ngantri,mengantri
865,ngapain,sedang apa
866,ngaruh,berpengaruh
867,ngawur,berbicara sembarangan
868,ngeceng,kumpul bareng-bareng
869,ngeh,sadar
870,ngekos,tinggal di kos
871,ngelamar,melamar
872,ngeliat,melihat
873,ngemeng,bicara terus-terusan
874,ngerti,mengerti
875,nggak,tidak
876,ngikut,ikut
877,nginep,menginap
878,ngisi,mengisi
879,ngmg,bicara
880,ngocol,lucu
881,ngomongin,membicarakan
882,ngumpul,berkumpul
883,ni,ini
884,nyasar,tersesat
885,nyariin,mencari
886,nyiapin,mempersiapkan
887,nyiram,menyiram
888,nyok,ayo
889,o/,oleh
890,ok,ok
891,priksa,periksa
892,pro,profesional
893,psn,pesan
894,psti,pasti
895,puanas,panas
896,qmo,kamu
897,qt,kita
898,rame,ramai
899,raskin,rakyat miskin
900,red,redaksi
901,reg,register
902,rejeki,rezeki
903,renstra,rencana strategis
904,reskrim,reserse kriminal
905,sni,sini
906,somse,sombong sekali
907,sorry,maaf
908,sosbud,sosial-budaya
909,sospol,sosial-politik
910,sowry,maaf
911,spd,sepeda
912,sprti,seperti
913,spy,supaya
914,stelah,setelah
915,subbag,subbagian
916,sumbangin,sumbangkan
917,sy,saya
918,syp,siapa
919,tabanas,tabungan pembangunan nasional
920,tar,nanti
921,taun,tahun
922,tawh,tahu
923,tdi,tadi
924,te2p,tetap
925,tekor,rugi
926,telkom,telekomunikasi
927,telp,telepon
928,temen2,teman-teman
929,tengok,menjenguk
930,terbitin,terbitkan
931,tgl,tanggal
932,thanks,terima kasih
933,thd,terhadap
934,thx,terima kasih
935,tipi,TV
936,tkg,tukang
937,tll,terlalu
938,tlpn,telepon
939,tman,teman
940,tmbh,tambah
941,tmn2,teman-teman
942,tmph,tumpah
943,tnda,tanda
944,tnh,tanah
945,togel,toto gelap
946,tp,tapi
947,tq,terima kasih
948,trgntg,tergantung
949,trims,terima kasih
950,cb,coba
951,y,ya
952,munfik,munafik
953,reklamuk,reklamasi
954,sma,sama
955,tren,trend
956,ngehe,kesal
957,mz,mas
958,analisise,analisis
959,sadaar,sadar
960,sept,september
961,nmenarik,menarik
962,zonk,bodoh
963,rights,benar
964,simiskin,miskin
965,ngumpet,sembunyi
966,hardcore,keras
967,akhirx,akhirnya
968,solve,solusi
969,watuk,batuk
970,ngebully,intimidasi
971,masy,masyarakat
972,still,masih
973,tauk,tahu
974,mbual,bual
975,faktakta,fakta
976,sohib,teman
977,rubahnn,rubah
978,trlalu,terlalu
979,nyela,cela
980,heters,pembenci
981,nyembah,sembah
982,most,paling
983,ikon,lambang
984,light,terang
985,pndukung,pendukung
986,setting,atur
987,seting,akting
988,next,lanjut
989,waspadalah,waspada
990,nyerang,serang
991,nipu,tipu
992,ktipu,tipu
993,jentelmen,berani
994,buangbuang,buang
995,tsangka,tersangka
996,kurng,kurang
997,less,kurang
998,koar,teriak
999,paranoid,takut
1000,problem,masalah
1001,tahi,kotoran
1002,tirani,tiran
1003,tilep,tilap
1004,happy,bahagia
1005,tak,tidak
1006,penertiban,tertib
1007,uasai,kuasa
1008,mnolak,tolak
1009,trending,trend
1010,taik,tahi
1011,wkwkkw,tertawa
1012,benarjujur,jujur
1013,mgkin,mungkin
1014,aamiin,amin 
1015,adek,adik 
1016,aer,air 
1017,aiskrim,es krim 
1018,ajah,saja 
1019,ajalah,saja 
1020,aje,saja 
1021,ajh,saja 
1022,aku,saya
1023,akoh,saya
1024,akutu,saya
1025,alesan,alasan 
1026,amaca,ah masa
1027,amuh,kamu
1028,ane,saya 
1029,anget,hangat 
1030,anjeng,anjing 
1031,apah,apa 
1032,aph,apa
1033,apo,apa 
1034,apose,apa
1035,apz,apa
1036,artine,artinya 
1037,ati2,hati-hati 
1038,atit,sakit 
1039,atu,satu 
1040,atw,atau 
1041,ayuk,ayo 
1042,babang,abang
1043,bae,baik 
1044,bais,habis
1045,bandingin,bandingkan 
1046,banget,sekali 
1047,bangett,sangat 
1048,banyakin,perbanyak 
1049,barengan,bersamaan 
1050,baryaw,sabar ya
1051,baso,bakso 
1052,bay,selamat tinggal
1053,bbrp,beberapa 
1054,bc,baca 
1055,bcs,bisa 
1056,bct,bicara 
1057,bdan,badan 
1058,bdn,badan 
1059,becanda,bercanda 
1060,bedua,berdua 
1061,bego,bodoh 
1062,bekel,bekal 
1063,belon,belum 
1064,bener2,benar-benar 
1065,beneran,benar 
1066,berantem,bertengkar 
1067,berenti,berhenti 
1068,besoq,besok
1069,bget,sangat 
1070,bgini,begini 
1071,bgitu,begitu 
1072,bgks,bungkus 
1073,bgm,bagaimana 
1074,bgn,bangun 
1075,bgni,begini 
1076,bgntdr,bangun tidur 
1077,bgtu,begitu 
1078,bgus,bagus 
1079,bhay,selamat tinggal
1080,bhn,bahan 
1081,bhs,bahas 
1082,bhw,bahwa 
1083,bhy,bahaya 
1084,bisaa,bisa 
1085,bisya,bisa
1086,biza,bisa
1087,bj,baju 
1088,bju,baju 
1089,bk,buku 
1090,bkan,bukan 
1091,bkin,bikin 
1092,bkr,bakar 
1093,bks,bungkus 
1094,blajar,belajar 
1095,bli,beli 
1096,blik,balik 
1097,bljr,belajar 
1098,blk,balik 
1099,blkg,belakang 
1100,blkng,belakang 
1101,blkngny,belakangnya 
1102,blng,bilang 
1103,blngn,bilang 
1104,blom,belum 
1105,bndg,bandung 
1106,bndr,bandar 
1107,bner,benar 
1108,bneran,benar 
1109,bnget,sangat 
1110,bngks,bungkus 
1111,bngng,bingung 
1112,bngt,sangat 
1113,bngun,bangun 
1114,bnr,benar 
1115,bnrbnr,benar-benar 
1116,bnrn,benar 
1117,bntar,sebentar 
1118,bntr,sebentar 
1119,bnyak,banyak 
1120,bnykny,banyaknya 
1121,bobo,tidur 
1122,bobok,tidur 
1123,boong,bohong 
1124,bosen,bosan 
1125,brani,berani 
1126,brapa,berapa 
1127,brarti,berarti 
1128,brasa,berasa 
1129,brgkt,berangkat 
1130,brhsl,berhasil 
1131,brjln,berjalan 
1132,brkfst,breakfast 
1133,brmslh,bermasalah 
1134,brpa,berapa 
1135,brrti,berarti 
1136,brs,beres 
1137,brshbt,bersahabat 
1138,brsm,bersama 
1139,brthn,bertahan 
1140,brtmn,berteman 
1141,bsok,besok 
1142,bsoq,besok
1143,bsr,besar 
1144,btg,batang 
1145,bth,butuh 
1146,btl,betul 
1147,btul,betul 
1148,buad,buat 
1149,buatin,buatkan 
1150,bucin,budak cinta
1151,bulcit,omong kosong
1152,bwa,bawa 
1153,bwh,bawah 
1154,bynk,banyak 
1155,caiank,sayang
1156,cakep,cakap 
1157,capek,capai 
1158,catet,catat 
1159,cekola,sekolah
1160,cekolah,sekolah
1161,celalaw,selalu
1162,celalu,selalu
1163,cemungudh,semangat
1164,cemungut,semangat
1165,cemunguth,semangat
1166,cibuq,sibuk
1167,cini,sini
1168,ciyus,serius
1169,ckrg,sekarang 
1170,ckup,cukup 
1171,cll,selalu
1172,cllu,selalu
1173,cllw,selalu
1174,cm,cuma 
1175,cma,cuma 
1176,cman,hanya 
1177,cmn,hanya 
1178,cmpk,cempaka 
1179,cobaa,coba 
1180,coeg,jancuk 
1181,cowo,cowok 
1182,cpat,cepat 
1183,cpee,capek
1184,cpet,cepat 
1185,cpt,cepat 
1186,cptn,cepatan 
1187,crt,cerita 
1188,cth,contoh 
1189,cug,jancuk 
1190,cuk,jancuk 
1191,cuman,hanya
1192,cungguh,sungguh 
1193,cw,cewek 
1194,cwe,cewek 
1195,cwo,cowok 
1196,cyang,sayang 
1197,dalem,dalam 
1198,dapa,ada apa
1199,dapah,ada apa
1200,dapetin,mendapatkan 
1201,dateng,datang 
1202,dberkahi,diberkahi 
1203,dblg,dibilang 
1204,dblkng,dibelakang 
1205,dbls,dibalas 
1206,dbwt,dibuat 
1207,dbyr,dibayar 
1208,denger,dengar 
1209,deres,deras 
1210,dftr,daftar 
1211,dg,dengan 
1212,dgr,dengar 
1213,dgrn,dengarin 
1214,dh,deh 
1215,didenger,didengar 
1216,didengerin,didengarkan 
1217,diem,diam 
1218,dijadiin,dijadikan 
1219,dikit,sedikit 
1220,dimance,dimana
1221,dimandose,dimana
1222,dimans,dimana
1223,dipake,dipakai 
1224,dipendem,dipendam 
1225,dirmh,di rumah 
1226,ditemenin,ditemani 
1227,djkt,di jakarta 
1228,djl,di jalan 
1229,djln,di jalan 
1230,dkat,dekat 
1231,dkls,di kelas 
1232,dkmps,di kampus 
1233,dkmr,di kamar 
1234,dkntr,di kantor 
1235,dksh,dikasih 
1236,dkt,dekat 
1237,dl,dulu 
1238,dlm,dalam 
1239,dlrng,dilarang 
1240,dluan,duluan 
1241,dmana,dimana 
1242,dmkn,dimakan 
1243,dmn,dimana 
1244,dmna,dimana 
1245,dmnmn,dimana-mana 
